,SITE_NAME,INVOICE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,FACT_NBR
0,(0001BB),1300082549,01/01/2018,31/01/2018,2 447,"316,46",35
1,(0001BB),1300082549,01/02/2018,28/02/2018,2 211,"286,82",35
2,(0001BB),1300082549,01/03/2018,31/03/2018,2 450,"317,32",35
3,(0001BB),1300082549,01/04/2018,30/04/2018,2 431,"315,00",35
4,(0001BB),1300082549,01/05/2018,31/05/2018,2 574,"333,37",35
5,(0001BB),1300082549,01/06/2018,30/06/2018,2 830,"365,27",35
6,(0001BB),1300082549,01/07/2018,31/07/2018,3 028,"390,39",35
7,(0001BB),1300082549,01/08/2018,31/08/2018,3 053,"393,99",35
8,(0001BB),1300082549,01/09/2018,30/09/2018,2 915,"378,35",35
9,(0001BB),1300082549,01/10/2018,31/10/2018,2 986,"387,05",35
10,(0001BB),1300082549,01/11/2018,30/11/2018,2 871,"372,47",35
11,(0001BB),1300082549,01/12/2018,31/12/2018,3 086,"399,30",35
12,(0001BB),1300082549,01/01/2019,31/01/2019,3 094,"381,40",35
13,(0001BB),1300082549,01/02/2019,28/02/2019,2 767,"345,87",35
14,(0001BB),1300082549,01/03/2019,31/03/2019,3 059,"378,18",35
15,(0001BB),1300082549,01/04/2019,30/04/2019,2 761,"340,84",35
16,(0001BB),1300082549,01/05/2019,31/05/2019,2 844,"349,26",35
17,(0001BB),1300082549,01/06/2019,30/06/2019,3 009,"369,19",35
18,(0001BB),1300082549,01/07/2019,31/07/2019,3 016,"371,20",35
19,(0001BB),1300082549,01/08/2019,31/08/2019,3 089,"380,42",35
20,(0001BB),#,01/09/2019,30/09/2019,2 914,"361,36",35
21,(0001BB),1300082549,01/10/2019,31/10/2019,2 963,"366,70",35
22,(0001BB),1300082549,01/11/2019,30/11/2019,2 797,"345,89",35
23,(0001BB),9200080633,01/12/2019,31/12/2019,2 859,"353,08",35
24,(0001BB),1300082549,01/01/2020,31/01/2020,2 863,"414,93",35
25,(0001BB),1300082549,01/02/2020,29/02/2020,2 663,"387,22",35
26,(0001BB),1300082549,01/03/2020,31/03/2020,2 759,"403,25",35
27,(0001BB),1300082549,01/04/2020,30/04/2020,2 680,"390,79",35
28,(0001BB),1300082549,01/05/2020,31/05/2020,2 797,"407,48",35
29,(0001BB),1300082549,01/06/2020,30/06/2020,2 796,"407,77",35
30,(0001BB),#,01/07/2020,31/07/2020,2 952,"429,09",35
31,(0001BB),1300082549,01/08/2020,31/08/2020,3 014,"435,98",35
32,(0001BB),1300082549,01/09/2020,30/09/2020,2 857,"411,97",35
33,(0001BB),1300082549,01/10/2020,31/10/2020,2 905,"413,41",35
34,(0001BB),1300082549,01/11/2020,30/11/2020,2 755,"383,02",35
35,(0001BR),7010671121,01/01/2018,31/01/2018,2 438,"266,43",35
36,(0001BR),7010674536,01/02/2018,28/02/2018,2 211,"242,33",35
37,(0001BR),7010677303,01/03/2018,31/03/2018,2 453,"267,95",35
38,(0001BR),7010680430,01/04/2018,30/04/2018,2 414,"263,78",35
39,(0001BR),7010682689,01/05/2018,31/05/2018,2 517,"274,62",35
40,(0001BR),7010685153,01/06/2018,30/06/2018,2 461,"268,63",35
41,(0001BR),7010687605,01/07/2018,31/07/2018,2 560,"279,26",35
42,(0001BR),7010690122,01/08/2018,31/08/2018,2 597,"283,07",35
43,(0001BR),7010693510,01/09/2018,30/09/2018,2 436,"267,99",35
44,(0001BR),7010696602,01/10/2018,31/10/2018,2 497,"274,50",35
45,(0001BR),7010698523,01/11/2018,30/11/2018,2 397,"263,82",35
46,(0001BR),7010701285,01/12/2018,31/12/2018,2 452,"269,69",35
47,(0001BR),7010705839,01/01/2019,31/01/2019,2 460,"264,03",35
48,(0001BR),7010710054,01/02/2019,28/02/2019,2 229,"239,96",35
49,(0001BR),7010713168,01/03/2019,31/03/2019,2 475,"265,56",35
50,(0001BR),7010718299,01/04/2019,30/04/2019,2 410,"258,76",35
51,(0001BR),7010722173,01/05/2019,31/05/2019,2 508,"268,92",35
52,(0001BR),7010724621,01/06/2019,30/06/2019,2 529,"270,94",35
53,(0001BR),7010727192,01/07/2019,31/07/2019,2 593,"277,63",35
54,(0001BR),7010729531,01/08/2019,31/08/2019,2 603,"278,60",35
55,(0001BR),7010731590,01/09/2019,30/09/2019,2 595,"277,20",35
56,(0001BR),7010735200,01/10/2019,31/10/2019,2 708,"288,79",35
57,(0001BR),7010737367,01/11/2019,30/11/2019,2 595,"277,07",35
58,(0001BR),7010740643,01/12/2019,31/12/2019,2 648,"282,57",35
59,(0001BR),7010745551,01/01/2020,31/01/2020,2 600,"330,81",35
60,(0001BR),7010749427,01/02/2020,29/02/2020,2 445,"311,57",35
61,(0001BR),7010752580,01/03/2020,31/03/2020,2 609,"330,32",35
62,(0001BR),7010755366,01/04/2020,30/04/2020,2 629,"332,70",35
63,(0001BR),7010757787,01/05/2020,31/05/2020,2 735,"345,77",35
64,(0001BR),7010760352,01/06/2020,30/06/2020,2 687,"339,78",35
65,(0001BR),7010762664,01/07/2020,31/07/2020,2 854,"360,33",35
66,(0001BR),7010766224,01/08/2020,31/08/2020,2 886,"364,21",35
67,(0001BR),7010768671,01/09/2020,30/09/2020,2 761,"348,79",35
68,(0001BR),7010772334,01/10/2020,31/10/2020,2 802,"353,90",35
69,(0001BR),7010775129,01/11/2020,30/11/2020,2 677,"338,44",35
70,(0001KO),7293511510,01/01/2018,31/01/2018,2 179,"268,53",35
71,(0001KO),7293522867,01/02/2018,28/02/2018,1 971,"243,47",35
72,(0001KO),7293319851,01/03/2018,31/03/2018,2 191,"269,98",35
73,(0001KO),7293534003,01/04/2018,30/04/2018,2 370,"291,55",35
74,(0001KO),7293413195,01/05/2018,31/05/2018,2 647,"324,92",35
75,(0001KO),7293543396,01/06/2018,30/06/2018,2 634,"323,35",35
76,(0001KO),7293752671,01/07/2018,31/07/2018,2 799,"343,43",35
77,(0001KO),7293331014,01/08/2018,31/08/2018,2 908,"356,57",35
78,(0001KO),7292415194,01/09/2018,30/09/2018,2 483,"307,29",35
79,(0001KO),7293114846,01/10/2018,31/10/2018,2 297,"284,72",35
80,(0001KO),7294313622,01/11/2018,30/11/2018,2 130,"264,46",35
81,(0001KO),7293020500,01/12/2018,31/12/2018,2 489,"308,02",35
82,(0001KO),7293335435,01/01/2019,31/01/2019,2 679,"364,03",35
83,(0001KO),7294044546,01/02/2019,28/02/2019,2 429,"330,63",35
84,(0001KO),7292604723,01/03/2019,31/03/2019,2 648,"359,89",35
85,(0001KO),7294049311,01/04/2019,30/04/2019,2 478,"337,18",35
86,(0001KO),7294051716,01/05/2019,31/05/2019,2 535,"344,79",35
87,(0001KO),7293608855,01/06/2019,30/06/2019,2 884,"391,43",35
88,(0001KO),7292425655,01/07/2019,31/07/2019,2 872,"389,82",35
89,(0001KO),7293613758,01/08/2019,31/08/2019,2 978,"403,99",35
90,(0001KO),7293344258,01/09/2019,30/09/2019,2 529,"343,99",35
91,(0001KO),7292217277,01/10/2019,31/10/2019,2 487,"338,38",35
92,(0001KO),7293616107,01/11/2019,30/11/2019,2 384,"324,62",35
93,(0001KO),7294326247,01/12/2019,31/12/2019,2 463,"335,17",35
94,(0001KO),7294059397,01/01/2020,31/01/2020,2 454,"331,90",35
95,(0001KO),7294525922,01/02/2020,29/02/2020,2 377,"321,70",35
96,(0001KO),7293937311,01/03/2020,31/03/2020,2 596,"350,71",35
97,(0001KO),7294061863,01/04/2020,30/04/2020,2 675,"365,40",35
98,(0001KO),7293422363,01/05/2020,31/05/2020,2 781,"375,22",35
99,(0001KO),7292712404,01/06/2020,30/06/2020,2 989,"402,77",35
100,(0001KO),7292714656,01/07/2020,31/07/2020,3 322,"446,89",35
101,(0001KO),7293774999,01/08/2020,31/08/2020,3 109,"418,67",35
102,(0001KO),7294429344,01/09/2020,30/09/2020,2 911,"392,44",35
103,(0001KO),7294130728,01/10/2020,31/10/2020,2 747,"370,72",35
104,(0001KO),7294332764,01/11/2020,30/11/2020,2 625,"354,55",35
105,(0002BB),1300082549,01/01/2018,31/01/2018,2 376,"310,46",35
106,(0002BB),1300082549,01/02/2018,28/02/2018,2 160,"283,07",35
107,(0002BB),1300082549,01/03/2018,31/03/2018,2 390,"313,01",35
108,(0002BB),1300082549,01/04/2018,30/04/2018,2 378,"311,80",35
109,(0002BB),1300082549,01/05/2018,31/05/2018,2 529,"330,93",35
110,(0002BB),1300082549,01/06/2018,30/06/2018,2 790,"363,65",35
111,(0002BB),1300082549,01/07/2018,31/07/2018,2 988,"388,77",35
112,(0002BB),1300082549,01/08/2018,31/08/2018,3 019,"393,19",35
113,(0002BB),1300082549,01/09/2018,30/09/2018,2 873,"376,62",35
114,(0002BB),1300082549,01/10/2018,31/10/2018,2 940,"384,79",35
115,(0002BB),1300082549,01/11/2018,30/11/2018,2 821,"369,46",35
116,(0002BB),1300082549,01/12/2018,31/12/2018,3 029,"395,45",35
117,(0002BB),1300082549,01/01/2019,31/01/2019,3 033,"378,02",35
118,(0002BB),1300082549,01/02/2019,28/02/2019,2 684,"339,51",35
119,(0002BB),1300082549,01/03/2019,31/03/2019,3 008,"376,16",35
120,(0002BB),1300082549,01/04/2019,30/04/2019,2 663,"332,01",35
121,(0002BB),1300082549,01/05/2019,31/05/2019,2 741,"339,86",35
122,(0002BB),1300082549,01/06/2019,30/06/2019,2 952,"364,23",35
123,(0002BB),1300082549,01/07/2019,31/07/2019,2 914,"363,68",35
124,(0002BB),1300082549,01/08/2019,31/08/2019,2 965,"368,84",35
125,(0002BB),#,01/09/2019,30/09/2019,2 819,"352,21",35
126,(0002BB),1300082549,01/10/2019,31/10/2019,2 927,"364,86",35
127,(0002BB),1300082549,01/11/2019,30/11/2019,2 773,"346,35",35
128,(0002BB),9200080633,01/12/2019,31/12/2019,2 822,"351,90",35
129,(0002BB),1300082549,01/01/2020,31/01/2020,2 830,"406,02",35
130,(0002BB),1300082549,01/02/2020,29/02/2020,2 625,"378,86",35
131,(0002BB),1300082549,01/03/2020,31/03/2020,2 734,"396,33",35
132,(0002BB),1300082549,01/04/2020,30/04/2020,2 644,"382,45",35
133,(0002BB),1300082549,01/05/2020,31/05/2020,2 753,"397,69",35
134,(0002BB),1300082549,01/06/2020,30/06/2020,2 763,"399,57",35
135,(0002BB),#,01/07/2020,31/07/2020,2 904,"418,43",35
136,(0002BB),1300082549,01/08/2020,31/08/2020,2 962,"425,38",35
137,(0002BB),1300082549,01/09/2020,30/09/2020,2 828,"406,82",35
138,(0002BB),1300082549,01/10/2020,31/10/2020,2 875,"412,79",35
139,(0002BB),1300082549,01/11/2020,30/11/2020,2 739,"381,14",35
140,(0002BR),7010671121,01/01/2018,31/01/2018,2 187,"239,96",35
141,(0002BR),7010674536,01/02/2018,28/02/2018,1 985,"218,51",35
142,(0002BR),7010677303,01/03/2018,31/03/2018,2 209,"242,16",35
143,(0002BR),7010680430,01/04/2018,30/04/2018,2 151,"235,47",35
144,(0002BR),7010682689,01/05/2018,31/05/2018,2 251,"245,79",35
145,(0002BR),7010685153,01/06/2018,30/06/2018,2 207,"241,00",35
146,(0002BR),7010687605,01/07/2018,31/07/2018,2 290,"249,83",35
147,(0002BR),7010690122,01/08/2018,31/08/2018,2 316,"252,45",35
148,(0002BR),7010693510,01/09/2018,30/09/2018,2 172,"239,10",35
149,(0002BR),7010696602,01/10/2018,31/10/2018,2 216,"244,03",35
150,(0002BR),7010698523,01/11/2018,30/11/2018,2 313,"254,38",35
151,(0002BR),7010701285,01/12/2018,31/12/2018,2 659,"290,96",35
152,(0002BR),7010705839,01/01/2019,31/01/2019,2 662,"284,26",35
153,(0002BR),7010710054,01/02/2019,28/02/2019,2 409,"257,94",35
154,(0002BR),7010713168,01/03/2019,31/03/2019,2 707,"288,61",35
155,(0002BR),7010718299,01/04/2019,30/04/2019,2 624,"279,83",35
156,(0002BR),7010722173,01/05/2019,31/05/2019,2 715,"289,18",35
157,(0002BR),7010724621,01/06/2019,30/06/2019,2 741,"291,44",35
158,(0002BR),7010727192,01/07/2019,31/07/2019,2 812,"298,72",35
159,(0002BR),7010729531,01/08/2019,31/08/2019,2 537,"269,82",35
160,(0002BR),7010731590,01/09/2019,30/09/2019,2 414,"257,19",35
161,(0002BR),7010735200,01/10/2019,31/10/2019,2 489,"265,07",35
162,(0002BR),7010737367,01/11/2019,30/11/2019,2 410,"257,13",35
163,(0002BR),7010740643,01/12/2019,31/12/2019,2 493,"265,86",35
164,(0002BR),7010745551,01/01/2020,31/01/2020,2 513,"319,43",35
165,(0002BR),7010749427,01/02/2020,29/02/2020,2 400,"305,19",35
166,(0002BR),7010752580,01/03/2020,31/03/2020,2 646,"333,77",35
167,(0002BR),7010755366,01/04/2020,30/04/2020,2 674,"337,00",35
168,(0002BR),7010757787,01/05/2020,31/05/2020,2 651,"334,85",35
169,(0002BR),7010760352,01/06/2020,30/06/2020,2 586,"326,84",35
170,(0002BR),7010762664,01/07/2020,31/07/2020,2 751,"347,07",35
171,(0002BR),7010766224,01/08/2020,31/08/2020,2 780,"350,62",35
172,(0002BR),7010768671,01/09/2020,30/09/2020,2 660,"335,86",35
173,(0002BR),7010772334,01/10/2020,31/10/2020,2 745,"346,36",35
174,(0002BR),7010775129,01/11/2020,30/11/2020,2 628,"331,97",35
175,(0002KO),7293511510,01/01/2018,31/01/2018,2 312,"286,36",35
176,(0002KO),7293522867,01/02/2018,28/02/2018,2 086,"259,13",35
177,(0002KO),7293319851,01/03/2018,31/03/2018,2 308,"285,88",35
178,(0002KO),7293534003,01/04/2018,30/04/2018,2 245,"278,29",35
179,(0002KO),7293413195,01/05/2018,31/05/2018,2 339,"289,61",35
180,(0002KO),7293543396,01/06/2018,30/06/2018,2 278,"282,26",35
181,(0002KO),7293752671,01/07/2018,31/07/2018,2 348,"290,86",35
182,(0002KO),7293331014,01/08/2018,31/08/2018,2 368,"293,27",35
183,(0002KO),7292415194,01/09/2018,30/09/2018,2 248,"280,57",35
184,(0002KO),7293114846,01/10/2018,31/10/2018,2 300,"286,88",35
185,(0002KO),7294313621,01/11/2018,30/11/2018,2 595,"322,68",35
186,(0002KO),7293020499,01/12/2018,31/12/2018,2 765,"343,31",35
187,(0002KO),7293335434,01/01/2019,31/01/2019,2 766,"377,48",35
188,(0002KO),7294044545,01/02/2019,28/02/2019,2 500,"341,94",35
189,(0002KO),7292604722,01/03/2019,31/03/2019,2 652,"362,25",35
190,(0002KO),7294049310,01/04/2019,30/04/2019,2 483,"339,67",35
191,(0002KO),7294051715,01/05/2019,31/05/2019,2 548,"348,35",35
192,(0002KO),7293608854,01/06/2019,30/06/2019,2 514,"343,81",35
193,(0002KO),7292425654,01/07/2019,31/07/2019,2 557,"349,55",35
194,(0002KO),7293613757,01/08/2019,31/08/2019,2 575,"351,96",35
195,(0002KO),7293344257,01/09/2019,30/09/2019,2 473,"338,33",35
196,(0002KO),7292217276,01/10/2019,31/10/2019,2 550,"348,62",35
197,(0002KO),7294323922,01/11/2019,30/11/2019,2 462,"336,86",35
198,(0002KO),7294326246,01/12/2019,31/12/2019,2 520,"344,61",35
199,(0002KO),7294059396,01/01/2020,31/01/2020,2 524,"343,21",35
200,(0002KO),7294525921,01/02/2020,29/02/2020,2 437,"331,69",35
201,(0002KO),7293937310,01/03/2020,31/03/2020,2 623,"356,33",35
202,(0002KO),7294061862,01/04/2020,30/04/2020,2 632,"357,52",35
203,(0002KO),7293422362,01/05/2020,31/05/2020,2 715,"368,52",35
204,(0002KO),7292712403,01/06/2020,30/06/2020,2 655,"360,57",35
205,(0002KO),7292714655,01/07/2020,31/07/2020,2 794,"378,98",35
206,(0002KO),7293774998,01/08/2020,31/08/2020,2 845,"385,74",35
207,(0002KO),7294429343,01/09/2020,30/09/2020,2 726,"369,97",35
208,(0002KO),7294130727,01/10/2020,31/10/2020,2 797,"379,38",35
209,(0002KO),7294332763,01/11/2020,30/11/2020,2 678,"363,62",35
210,(0003BB),1300082549,01/01/2018,31/01/2018,2 100,"271,90",35
211,(0003BB),1300082549,01/02/2018,28/02/2018,1 897,"246,46",35
212,(0003BB),1300082549,01/03/2018,31/03/2018,2 103,"272,70",35
213,(0003BB),1300082549,01/04/2018,30/04/2018,2 062,"267,67",35
214,(0003BB),1300082549,01/05/2018,31/05/2018,2 144,"278,24",35
215,(0003BB),1300082549,01/06/2018,30/06/2018,2 409,"311,78",35
216,(0003BB),1300082549,01/07/2018,31/07/2018,2 675,"345,06",35
217,(0003BB),1300082549,01/08/2018,31/08/2018,2 701,"348,81",35
218,(0003BB),1300082549,01/09/2018,30/09/2018,2 147,"280,38",35
219,(0003BB),1300082549,01/10/2018,31/10/2018,3 052,"394,40",35
220,(0003BB),1300082549,01/11/2018,30/11/2018,2 527,"327,92",35
221,(0003BB),1300082549,01/12/2018,31/12/2018,2 742,"354,90",35
222,(0003BB),1300082549,01/01/2019,31/01/2019,2 729,"337,04",35
223,(0003BB),1300082549,01/02/2019,28/02/2019,2 353,"291,99",35
224,(0003BB),1300082549,01/03/2019,31/03/2019,2 587,"319,91",35
225,(0003BB),1300082549,01/04/2019,30/04/2019,2 392,"296,52",35
226,(0003BB),1300082549,01/05/2019,31/05/2019,2 476,"306,30",35
227,(0003BB),1300082549,01/06/2019,30/06/2019,2 673,"331,24",35
228,(0003BB),1300082549,01/07/2019,31/07/2019,2 849,"352,67",35
229,(0003BB),1300082549,01/08/2019,31/08/2019,2 868,"354,63",35
230,(0003BB),#,01/09/2019,30/09/2019,2 739,"338,53",35
231,(0003BB),1300082549,01/10/2019,31/10/2019,2 832,"349,45",35
232,(0003BB),1300082549,01/11/2019,30/11/2019,2 700,"333,53",35
233,(0003BB),9200080633,01/12/2019,31/12/2019,2 764,"341,07",35
234,(0003BB),1300082549,01/01/2020,31/01/2020,2 765,"392,85",35
235,(0003BB),1300082549,01/02/2020,29/02/2020,2 544,"364,42",35
236,(0003BB),1300082549,01/03/2020,31/03/2020,2 671,"383,97",35
237,(0003BB),1300082549,01/04/2020,30/04/2020,2 608,"373,97",35
238,(0003BB),1300082549,01/05/2020,31/05/2020,2 691,"385,30",35
239,(0003BB),1300082549,01/06/2020,30/06/2020,2 663,"381,63",35
240,(0003BB),#,01/07/2020,31/07/2020,2 789,"398,15",35
241,(0003BB),1300082549,01/08/2020,31/08/2020,2 839,"404,26",35
242,(0003BB),1300082549,01/09/2020,30/09/2020,2 709,"386,06",35
243,(0003BB),1300082549,01/10/2020,31/10/2020,2 765,"393,20",35
244,(0003BB),1300082549,01/11/2020,30/11/2020,2 642,"366,39",35
245,(0003BR),7010671121,01/01/2018,31/01/2018,2 437,"266,44",35
246,(0003BR),7010674536,01/02/2018,28/02/2018,2 206,"241,91",35
247,(0003BR),7010677303,01/03/2018,31/03/2018,2 446,"267,32",35
248,(0003BR),7010680430,01/04/2018,30/04/2018,2 423,"264,79",35
249,(0003BR),7010682689,01/05/2018,31/05/2018,2 532,"276,25",35
250,(0003BR),7010685153,01/06/2018,30/06/2018,2 478,"270,43",35
251,(0003BR),7010687605,01/07/2018,31/07/2018,2 556,"278,84",35
252,(0003BR),7010690122,01/08/2018,31/08/2018,2 598,"283,15",35
253,(0003BR),7010693510,01/09/2018,30/09/2018,2 453,"269,79",35
254,(0003BR),7010696602,01/10/2018,31/10/2018,2 506,"275,51",35
255,(0003BR),7010698523,01/11/2018,30/11/2018,2 409,"265,07",35
256,(0003BR),7010701285,01/12/2018,31/12/2018,2 455,"270,01",35
257,(0003BR),7010705839,01/01/2019,31/01/2019,2 467,"264,75",35
258,(0003BR),7010710054,01/02/2019,28/02/2019,2 237,"240,77",35
259,(0003BR),7010713168,01/03/2019,31/03/2019,2 494,"267,47",35
260,(0003BR),7010718299,01/04/2019,30/04/2019,2 426,"260,39",35
261,(0003BR),7010722173,01/05/2019,31/05/2019,2 526,"270,73",35
262,(0003BR),7010724621,01/06/2019,30/06/2019,2 566,"274,67",35
263,(0003BR),7010727192,01/07/2019,31/07/2019,2 618,"280,06",35
264,(0003BR),7010729531,01/08/2019,31/08/2019,2 615,"279,72",35
265,(0003BR),7010731590,01/09/2019,30/09/2019,2 484,"266,17",35
266,(0003BR),7010735200,01/10/2019,31/10/2019,2 736,"291,59",35
267,(0003BR),7010737367,01/11/2019,30/11/2019,2 617,"279,31",35
268,(0003BR),7010740643,01/12/2019,31/12/2019,2 660,"283,77",35
269,(0003BR),7010745551,01/01/2020,31/01/2020,2 662,"338,47",35
270,(0003BR),7010749427,01/02/2020,29/02/2020,2 524,"321,27",35
271,(0003BR),7010752580,01/03/2020,31/03/2020,2 694,"340,71",35
272,(0003BR),7010755366,01/04/2020,30/04/2020,2 704,"341,86",35
273,(0003BR),7010757787,01/05/2020,31/05/2020,2 801,"353,83",35
274,(0003BR),7010760352,01/06/2020,30/06/2020,2 743,"346,60",35
275,(0003BR),7010762664,01/07/2020,31/07/2020,2 920,"368,35",35
276,(0003BR),7010766224,01/08/2020,31/08/2020,2 872,"362,49",35
277,(0003BR),7010768671,01/09/2020,30/09/2020,2 818,"355,93",35
278,(0003BR),7010772334,01/10/2020,31/10/2020,2 862,"361,39",35
279,(0003BR),7010775129,01/11/2020,30/11/2020,2 739,"346,21",35
280,(0003KO),221803066,01/01/2018,31/03/2018,6 293,"985,04",11
281,(0003KO),221806145,01/04/2018,30/06/2018,7 082,"1 118,25",11
282,(0003KO),221809214,01/07/2018,30/09/2018,6 740,"1 066,96",11
283,(0003KO),221812287,01/10/2018,31/12/2018,8 423,"1 331,26",11
284,(0003KO),221903065,01/01/2019,31/03/2019,7 883,"1 373,30",11
285,(0003KO),221906134,01/04/2019,30/06/2019,7 024,"1 229,28",11
286,(0003KO),221909206,01/07/2019,30/09/2019,7 143,"1 251,45",11
287,(0003KO),221912279,01/10/2019,31/12/2019,7 707,"1 345,33",11
288,(0003KO),222003061,01/01/2020,31/03/2020,6 561,"1 058,29",11
289,(0003KO),222006132,01/04/2020,30/06/2020,7 511,"1 220,24",11
290,(0003KO),222009203,01/07/2020,30/09/2020,7 823,"1 270,14",11
291,(0004BB),VF/18/022,01/01/2018,31/01/2018,14 414,"1 369,33",36
292,(0004BB),VF/18/051,01/02/2018,28/02/2018,12 328,"1 171,16",36
293,(0004BB),VF/18/074,01/03/2018,31/03/2018,12 849,"1 220,66",36
294,(0004BB),VF/18/098,01/04/2018,30/04/2018,14 535,"1 380,83",36
295,(0004BB),VF/18/122,01/05/2018,31/05/2018,14 547,"1 381,97",36
296,(0004BB),VF/18/143,01/06/2018,30/06/2018,14 379,"1 366,01",36
297,(0004BB),VF/18/165,01/07/2018,31/07/2018,15 907,"1 511,17",36
298,(0004BB),VF/18/188,01/08/2018,31/08/2018,15 701,"1 491,60",36
299,(0004BB),VF/18/204,01/09/2018,30/09/2018,15 544,"1 476,68",36
300,(0004BB),VF/18/229,01/10/2018,31/10/2018,14 691,"1 395,65",36
301,(0004BB),VF/18/253,01/11/2018,30/11/2018,14 728,"1 399,16",36
302,(0004BB),VF/18/280,01/12/2018,31/12/2018,15 174,"1 441,53",36
303,(0004BB),VF/20/019,01/01/2019,31/01/2019,9 410,"1 246,83",36
304,(0004BB),VF/19/021,01/01/2019,31/01/2019,15 297,"2 026,85",36
305,(0004BB),VF/19/045,01/02/2019,28/02/2019,13 756,"1 822,67",36
306,(0004BB),VF/19/067,01/03/2019,31/03/2019,15 810,"2 094,83",36
307,(0004BB),VF/19/095,01/04/2019,30/04/2019,14 090,"1 866,93",36
308,(0004BB),VF/19/111,01/05/2019,31/05/2019,14 081,"1 865,73",36
309,(0004BB),VF/19/135,01/06/2019,30/06/2019,17 034,"2 257,01",36
310,(0004BB),VF/19/152,01/07/2019,31/07/2019,14 906,"1 975,05",36
311,(0004BB),VF/19/173,01/08/2019,31/08/2019,14 638,"1 939,54",36
312,(0004BB),VF/19/195,01/09/2019,30/09/2019,11 200,"1 484,00",36
313,(0004BB),VF/19/215,01/10/2019,31/10/2019,12 068,"1 599,01",36
314,(0004BB),VF/19/242,01/11/2019,30/11/2019,11 184,"1 481,88",36
315,(0004BB),VF/19/266,01/12/2019,31/12/2019,9 904,"1 312,28",36
316,(0004BB),VF/20/019,01/01/2020,31/01/2020,9 410,"1 246,83",36
317,(0004BB),VF/20/040,01/02/2020,29/02/2020,9 465,"1 254,11",36
318,(0004BB),VF/20/063,01/03/2020,31/03/2020,8 849,"1 172,49",36
319,(0004BB),VF/20/080,01/04/2020,30/04/2020,9 214,"1 220,86",36
320,(0004BB),VF/20/108,01/05/2020,31/05/2020,9 883,"1 309,50",36
321,(0004BB),VF20126,01/06/2020,30/06/2020,9 050,"1 199,13",36
322,(0004BB),VF20150,01/07/2020,31/07/2020,9 809,"1 299,69",36
323,(0004BB),VF/20/163,01/08/2020,31/08/2020,9 962,"1 319,97",36
324,(0004BB),VF/20/181,01/09/2020,30/09/2020,9 092,"1 204,69",36
325,(0004BB),VF/20/206,01/10/2020,31/10/2020,8 640,"1 144,80",36
326,(0004BB),VF/20/224,01/11/2020,30/11/2020,8 720,"1 155,40",36
327,(0004BR),7230729120,01/01/2018,31/01/2018,2 276,"244,43",35
328,(0004BR),7210817415,01/02/2018,28/02/2018,2 057,"221,74",35
329,(0004BR),7010677549,01/03/2018,31/03/2018,2 284,"245,26",35
330,(0004BR),7010680438,01/04/2018,30/04/2018,2 253,"242,04",35
331,(0004BR),7010682137,01/05/2018,31/05/2018,2 345,"251,58",35
332,(0004BR),7200873047,01/06/2018,30/06/2018,2 297,"252,33",35
333,(0004BR),7010687678,01/07/2018,31/07/2018,2 389,"262,18",35
334,(0004BR),7010690351,01/08/2018,31/08/2018,2 414,"264,73",35
335,(0004BR),7240672664,01/09/2018,30/09/2018,2 292,"253,64",35
336,(0004BR),7010695617,01/10/2018,31/10/2018,2 355,"260,41",35
337,(0004BR),7010698165,01/11/2018,30/11/2018,2 256,"249,82",35
338,(0004BR),7010700707,01/12/2018,31/12/2018,2 310,"255,61",35
339,(0004BR),7010705826,01/01/2019,31/01/2019,2 313,"249,80",35
340,(0004BR),7010709596,01/02/2019,28/02/2019,2 098,"227,38",35
341,(0004BR),7010713458,01/03/2019,31/03/2019,2 326,"251,13",35
342,(0004BR),7010715460,01/04/2019,30/04/2019,2 264,"244,61",35
343,(0004BR),7010722067,01/05/2019,31/05/2019,2 353,"253,85",35
344,(0004BR),7010724608,01/06/2019,30/06/2019,2 347,"253,04",35
345,(0004BR),7010726429,01/07/2019,31/07/2019,2 402,"258,77",35
346,(0004BR),7010729457,01/08/2019,31/08/2019,2 403,"258,84",35
347,(0004BR),7010732116,01/09/2019,30/09/2019,2 280,"246,13",35
348,(0004BR),7111897841,01/10/2019,31/10/2019,2 610,"279,47",35
349,(0004BR),7010737238,01/11/2019,30/11/2019,2 522,"270,28",35
350,(0004BR),7010740688,01/12/2019,31/12/2019,2 588,"277,13",35
351,(0004BR),7010746361,01/01/2020,31/01/2020,2 599,"331,44",35
352,(0004BR),7010748665,01/02/2020,29/02/2020,2 454,"313,42",35
353,(0004BR),7010752918,01/03/2020,31/03/2020,2 603,"330,33",35
354,(0004BR),7010755640,01/04/2020,30/04/2020,2 616,"331,85",35
355,(0004BR),7010757872,01/05/2020,31/05/2020,2 693,"341,35",35
356,(0004BR),7010760286,01/06/2020,30/06/2020,2 622,"332,51",35
357,(0004BR),7010762428,01/07/2020,31/07/2020,2 764,"349,96",35
358,(0004BR),7010765495,01/08/2020,31/08/2020,2 804,"354,84",35
359,(0004BR),7010768590,01/09/2020,30/09/2020,2 700,"342,00",35
360,(0004BR),7010772265,01/10/2020,31/10/2020,2 760,"349,45",35
361,(0004BR),7010775227,01/11/2020,30/11/2020,2 647,"326,93",35
362,(0004KO),7293511510,01/01/2018,31/01/2018,2 206,"275,39",35
